rule;description;status;date_added;date_removed;filename;projectname
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/__init__.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/__init__.py;airavata-django-portal
14;Docstrings should be defined;OPEN;2-22-17;;airavata-django-portal/airavata/api/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;2-22-17;;airavata-django-portal/airavata/api/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;2-22-17;;airavata-django-portal/airavata/api/__init__.py;airavata-django-portal
14;Docstrings should be defined;OPEN;2-22-17;;airavata-django-portal/airavata/api/constants.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;2-22-17;;airavata-django-portal/airavata/api/constants.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/api/error/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/api/error/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/api/error/__init__.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/api/error/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;12-1-2017;;airavata-django-portal/airavata/api/error/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;12-1-2017;;airavata-django-portal/airavata/api/error/__init__.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/api/error/constants.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/api/error/constants.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/api/error/constants.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;12-1-2017;;airavata-django-portal/airavata/api/error/constants.py;airavata-django-portal
14;Docstrings should be defined;OPEN;2-22-17;;airavata-django-portal/airavata/api/error/ttypes.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;2-22-17;;airavata-django-portal/airavata/api/error/ttypes.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;2-22-17;;airavata-django-portal/airavata/api/error/ttypes.py;airavata-django-portal
50;Lines should not be too long;OPEN;2-22-17;;airavata-django-portal/airavata/api/error/ttypes.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;2-22-17;;airavata-django-portal/airavata/api/error/ttypes.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;2-22-17;;airavata-django-portal/airavata/api/error/ttypes.py;airavata-django-portal
58;Source files should not have any duplicated blocks;OPEN;2-22-17;;airavata-django-portal/airavata/api/error/ttypes.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/error/ttypes.py;airavata-django-portal
50;Lines should not be too long;OPEN;8-3-2017;;airavata-django-portal/airavata/api/error/ttypes.py;airavata-django-portal
14;Docstrings should be defined;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/__init__.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/api/sharing/constants.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/api/sharing/constants.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/api/sharing/constants.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;12-1-2017;;airavata-django-portal/airavata/api/sharing/constants.py;airavata-django-portal
50;Lines should not be too long;CLOSED;8-3-2017;11-10-2017;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
50;Lines should not be too long;CLOSED;8-3-2017;1-19-18;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
50;Lines should not be too long;CLOSED;8-3-2017;6-5-2018;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
14;Docstrings should be defined;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
20;Functions should not be too complex;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
20;Functions should not be too complex;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
47;Files should not have too many lines of code;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
50;Lines should not be too long;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
58;Source files should not have any duplicated blocks;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
439;Raising only allowed for classes, instances or strings;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
50;Lines should not be too long;CLOSED;11-23-17;12-1-2017;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
50;Lines should not be too long;OPEN;12-1-2017;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;1-19-18;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;1-19-18;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;1-19-18;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
50;Lines should not be too long;OPEN;1-19-18;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
439;Raising only allowed for classes, instances or strings;OPEN;1-19-18;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
50;Lines should not be too long;OPEN;6-5-2018;;airavata-django-portal/airavata/api/sharing/SharingRegistryService.py;airavata-django-portal
14;Docstrings should be defined;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/ttypes.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;8-3-2017;;airavata-django-portal/airavata/api/sharing/ttypes.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/api/ttypes.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/api/ttypes.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/api/ttypes.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/api/ttypes.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;12-1-2017;;airavata-django-portal/airavata/api/ttypes.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;12-1-2017;;airavata-django-portal/airavata/api/ttypes.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/__init__.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/model/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;12-1-2017;;airavata-django-portal/airavata/model/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;12-1-2017;;airavata-django-portal/airavata/model/__init__.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/__init__.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/__init__.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/__init__.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/__init__.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/constants.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/constants.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/constants.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/constants.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
50;Lines should not be too long;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
58;Source files should not have any duplicated blocks;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
50;Lines should not be too long;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
58;Source files should not have any duplicated blocks;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/accountprovisioning/ttypes.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/appdeployment/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/appdeployment/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/appdeployment/__init__.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/appdeployment/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/appdeployment/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/appdeployment/__init__.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/appdeployment/constants.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/appdeployment/constants.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/appdeployment/constants.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/appdeployment/constants.py;airavata-django-portal
14;Docstrings should be defined;OPEN;2-22-17;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
20;Functions should not be too complex;OPEN;2-22-17;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
20;Functions should not be too complex;OPEN;2-22-17;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;2-22-17;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;2-22-17;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;2-22-17;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
29;Cognitive Complexity of functions should not be too high;OPEN;2-22-17;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
50;Lines should not be too long;OPEN;2-22-17;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;2-22-17;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;2-22-17;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
58;Source files should not have any duplicated blocks;OPEN;2-22-17;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
46;Functions, methods and lambdas should not have too many parameters;OPEN;8-3-2017;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
50;Lines should not be too long;OPEN;8-3-2017;;airavata-django-portal/airavata/model/appcatalog/appdeployment/ttypes.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/appinterface/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/appinterface/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/appinterface/__init__.py;airavata-django-portal
14;Docstrings should be defined;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/appinterface/__init__.py;airavata-django-portal
56;Lines should have sufficient coverage by tests;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/appinterface/__init__.py;airavata-django-portal
57;Source files should have a sufficient density of comment lines;OPEN;12-1-2017;;airavata-django-portal/airavata/model/appcatalog/appinterface/__init__.py;airavata-django-portal
14;Docstrings should be defined;CLOSED;11-10-2017;11-23-17;airavata-django-portal/airavata/model/appcatalog/appinterface/constants.py;airavata-django-portal
