source,target,weight
14,16,0.140144858
14,20,0.133205847
14,21,0.158310665
14,24,0.154711406
14,29,0.290197396
14,40,0.106794554
14,41,0.131629561
14,42,0.149713204
14,46,0.092861808
14,50,0.336115628
14,56,0.916267478
14,57,0.618672517
14,58,0.214235602
14,394,0.130544051
16,14,0.288178969
16,21,0.091712665
16,29,0.171505172
16,40,0.091421956
16,47,0.101823246
16,50,0.17272508
16,56,0.350404976
16,57,0.202716797
16,58,0.126366294
20,14,0.305399922
20,16,0.094951484
20,24,0.195459091
20,29,0.350758973
20,40,0.135311743
20,41,0.13140503
20,42,0.102654778
20,47,0.101127643
20,50,0.217874319
20,56,0.352659646
20,57,0.246677584
20,58,0.167249763
21,14,0.305239507
21,29,0.109986694
21,50,0.115728142
21,56,0.34685185
21,57,0.261950241
21,58,0.096106385
23,14,0.110966051
23,56,0.135106489
24,14,0.31796749
24,20,0.190219383
24,29,0.310814319
24,40,0.118258382
24,41,0.14861531
24,42,0.118523378
24,50,0.236881583
24,56,0.357806218
24,57,0.258665796
24,58,0.112985619
26,14,0.124223352
26,29,0.104844877
26,56,0.167348636
26,57,0.098279584
29,14,0.514385634
29,16,0.141256061
29,20,0.263489097
29,21,0.104289835
29,24,0.241238601
29,40,0.175118288
29,41,0.174185336
29,42,0.134136968
29,46,0.109547379
29,47,0.111433793
29,50,0.301523661
29,56,0.584317542
29,57,0.386234045
29,58,0.211973576
38,14,0.137738822
38,56,0.141491329
38,57,0.115658362
40,14,0.276697499
40,16,0.096491761
40,20,0.137131202
40,24,0.12517545
40,29,0.228527507
40,41,0.092798937
40,42,0.105005904
40,50,0.165607444
40,56,0.332412214
40,57,0.227786822
40,58,0.096248814
41,14,0.295588458
41,20,0.131023196
41,24,0.166725902
41,29,0.238728862
41,50,0.186707093
41,56,0.346081985
41,57,0.202521967
41,58,0.102918066
42,14,0.29513677
42,20,0.092921597
42,24,0.11709949
42,29,0.150615754
42,50,0.202909147
42,56,0.337832741
42,57,0.230201078
42,58,0.091699534
45,14,0.092105106
45,56,0.121262082
46,14,0.255087273
46,29,0.152638731
46,50,0.114892322
46,56,0.265566552
46,57,0.140763084
47,14,0.178547094
47,16,0.096157124
47,20,0.093388131
47,29,0.136447775
47,50,0.142517507
47,56,0.223706182
47,57,0.146042303
47,58,0.125276233
50,14,0.514615862
50,16,0.139005711
50,20,0.146445903
50,24,0.170443181
50,29,0.258867798
50,40,0.108476808
50,41,0.113145847
50,42,0.165482706
50,47,0.107655532
50,56,0.611462124
50,57,0.427829758
50,58,0.199386825
50,394,0.106385994
56,14,0.875224758
56,16,0.172051971
56,20,0.154002814
56,21,0.179476827
56,24,0.173206726
56,29,0.32182221
56,40,0.136870098
56,41,0.147240978
56,42,0.178147209
56,47,0.101577369
56,50,0.392359786
56,57,0.638883938
56,58,0.235458802
56,394,0.143566944
57,14,0.763097897
57,16,0.105989451
57,20,0.133799373
57,21,0.166750197
57,24,0.155061988
57,29,0.265279137
57,40,0.114102943
57,41,0.110139715
57,42,0.14996781
57,50,0.333503292
57,56,0.819468308
57,58,0.212579421
57,394,0.096837492
58,14,0.387561193
58,16,0.109730807
58,20,0.129413033
58,21,0.099922522
58,24,0.100184541
58,29,0.219089588
58,42,0.094008471
58,47,0.114921014
58,50,0.237132934
58,56,0.435842279
58,57,0.334877495
394,14,0.314235999
394,29,0.110964468
394,50,0.153745406
394,56,0.352340662
394,57,0.206950966
